level,severity_score
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
INFO,1
